"模块ID","模块名","模块URL","父模块","是否子模块","功能项","是否启用"
"1","系统信息管理","","null","0","null","1"
"2","模块信息管理","/module/all","系统信息管理","1","列表,新增,修改,删除,查询,导出","1"
"3","用户信息管理","/user/all","系统信息管理","1","列表,查询,新增,修改,删除,授权","1"
"4","角色信息管理","/role/all","系统信息管理","1","列表,查询,新增,修改,删除,授权","1"
"5","系统字段管理","/manage/system/field/index.do","系统信息管理","1","null","1"
"6","门户信息管理","null","null","0","null","1"
"7","站点信息管理","/manage/sitesettings/index.do","门户信息管理","1","null","1"
"8","游戏平台管理","/manage/gameplatform/index.do","门户信息管理","1","null","1"
"9","支付信息管理","null","null","0","null","1"
"10","支付平台管理","/manage/payplatform/index.do","支付信息管理","1","null","1"
"11","用户支付查询","null","支付信息管理","1","null","1"
"12","短信信息管理","null","null","0","null","1"
"13","短信发送记录","/manage/smsplatinfo/smslog/index.do","短信信息管理","1","null","1"
"15","会员信息管理","null","null","0","null","1"
"16","短信平台账号","/manage/smsplatinfo/account/index.do","短信信息管理","1","null","1"
"17","短信黑名单管理","/manage/smsplatinfo/blacklist/index.do","短信信息管理","1","null","1"
"18","会员资料管理","/manage/memberinfo/index.do","会员信息管理","1","null","1"
"19","代理信息管理","null","null","0","null","1"
"20","代理用户管理","/manage/proxy/index.do","代理信息管理","1","null","1"
"21","代理域名绑定","/manage/proxy/domainindex.do","代理信息管理","1","null","1"
"22","客服管理","null","null","0","null","1"
"23","公司银行卡管理","/manage/companycard/index.do","账务管理","1","null","1"
"24","存款订单管理","/manage/depositorder/index.do","客服管理","1","null","1"
"25","投注明细表","/manage/betlog/index.do","会员信息管理","1","null","1"
"27","提款订单管理","/manage/pickuporder/index.do","客服管理","1","null","1"
"29","账务管理","null","null","0","null","1"
"30","在线支付列表","/manage/depositorderOL/indexOL.do","客服管理","1","null","1"
"31","公司银行卡分组管理","/manage/ccgroup/index.do","账务管理","1","null","1"
"32","洗码管理","null","null","0","null","1"
"33","会员洗码设置","/manage/memberximaset/index.do","洗码管理","1","null","1"
"34","会员洗码记录管理","/manage/memberximamain/index.do","洗码管理","1","null","1"
"35","代理洗码设置","/manage/proxyximaset/index.do","洗码管理","1","null","1"
"36","代理洗码记录管理","/manage/proxyximamain/index.do","洗码管理","1","null","1"
"38","手工增减钱包额度","/manage/accountmoney/index.do","客服管理","1","null","1"
"39","会员银行卡","/manage/cardpackag/index.do","会员信息管理","1","null","1"
"40","加款订单管理","/manage/rewordorder/index.do","客服管理","1","null","1"
"41","扣款订单管理","/manage/punishorder/index.do","客服管理","1","null","1"
"42","存款订单管理","/manage/depositorder/index.do","账务管理","1","null","1"
"43","提款订单管理","/manage/pickuporder/index.do","账务管理","1","null","1"
"44","加款订单管理","/manage/rewordorder/index.do","账务管理","1","null","1"
"45","扣款订单管理","/manage/punishorder/index.do","账务管理","1","null","1"
"46","代理下线会员","null","null","0","null","1"
"142","会员等级设置","/manage/memberGrade/index.do","会员信息管理","1","null","1"
"143","会员升级记录","/manage/memberUpgradeLog/index.do","会员信息管理","1","null","1"
"144","钱包手工转账记录","/manage/gameTransferLog/index.do","会员信息管理","1","null","1"
"145","会员输赢查询","/manage/memberinfo/reportIndex.do","会员信息管理","1","null","1"
"146","会员输赢查询","/manage/memberinfo/reportIndex.do","代理下线会员","1","null","1"
